movie,original_reviews,sampled_reviews,sampling_ratio
Jack Reacher 2012,527,65,0.12333965844402277
Over the Hedge 2006,292,50,0.17123287671232876
Van Helsing 2004,1372,80,0.05830903790087463
Foxcatcher 2014,335,50,0.14925373134328357
Halloween 1978,1414,80,0.056577086280056574
Edge of Tomorrow 2014,948,65,0.06856540084388185
Empire Records 1995,288,50,0.1736111111111111
Kickboxer 1989,132,35,0.26515151515151514
Cold War 2018,194,35,0.18041237113402062
Midway 2019,854,65,0.07611241217798595
Thor: Ragnarok 2017,1576,80,0.050761421319796954
Monster 2003,567,65,0.1146384479717813
Point Break 2015,260,50,0.19230769230769232
Anchorman: The Legend of Ron Burgundy 2004,617,65,0.1053484602917342
The Town 2010,498,50,0.10040160642570281
Madagascar 3: Europe's Most Wanted 2012,187,35,0.18716577540106952
Radio 2003,202,50,0.24752475247524752
It Chapter Two 2019,2182,80,0.03666361136571952
The Aviator 2004,837,65,0.07765830346475508
Lords of Dogtown 2005,206,50,0.24271844660194175
Once 2007,361,50,0.13850415512465375
The Twilight Saga: Breaking Dawn - Part 1 2011,477,50,0.10482180293501048
The Hurricane 1999,274,50,0.18248175182481752
Men in Black 1997,340,50,0.14705882352941177
The Holiday 2006,560,65,0.11607142857142858
The Young Victoria 2009,108,35,0.32407407407407407
War of the Worlds 2005,2837,80,0.028198801550934086
Casualties of War 1989,135,35,0.25925925925925924
Blow 2001,452,50,0.11061946902654868
A Walk to Remember 2002,1007,80,0.07944389275074479
Everest 2015,335,50,0.14925373134328357
Eternal Sunshine of the Spotless Mind 2004,1782,80,0.04489337822671156
Coyote Ugly 2000,383,50,0.13054830287206268
Ocean's Thirteen 2007,316,50,0.15822784810126583
The Godfather: Part II 1974,969,65,0.06707946336429309
In Time 2011,533,65,0.12195121951219512
Finding Neverland 2004,657,65,0.0989345509893455
Pan's Labyrinth 2006,1259,80,0.06354249404289118
Full Metal Jacket 1987,831,65,0.07821901323706378
National Treasure: Book of Secrets 2007,319,50,0.15673981191222572
Léon: The Professional 1994,1156,80,0.06920415224913495
Ran 1985,273,50,0.18315018315018314
Saints and Soldiers 2003,163,35,0.2147239263803681
21 2008,311,50,0.1607717041800643
Monsters vs. Aliens 2009,211,50,0.23696682464454977
Rocky III 1982,240,50,0.20833333333333334
Jurassic World 2015,1531,80,0.05225342913128674
Finding Nemo 2003,951,65,0.0683491062039958
Jarhead 2005,695,65,0.09352517985611511
The Imitation Game 2014,809,65,0.08034610630407911
Climax 2018,351,50,0.14245014245014245
The Fly 1986,332,50,0.15060240963855423
Se7en 1995,1398,80,0.05722460658082976
The Incredible Hulk 2008,796,65,0.08165829145728644
The 13th Warrior 1999,575,65,0.11304347826086956
The Secret in Their Eyes 2009,288,50,0.1736111111111111
The Natural 1984,208,50,0.2403846153846154
Legend 2015,266,50,0.18796992481203006
Battleship Potemkin 1925,204,50,0.24509803921568626
28 Days Later... 2002,1503,80,0.05322687957418496
Spider-Man 3 2007,2060,80,0.038834951456310676
127 Hours 2010,481,50,0.10395010395010396
The Happening 2008,1379,80,0.05801305293691081
Brave 2012,515,65,0.1262135922330097
Resident Evil: Extinction 2007,383,50,0.13054830287206268
It Follows 2014,997,65,0.06519558676028084
American Gangster 2007,495,50,0.10101010101010101
