movie,sentence_count,username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
",but what these words leave behind the controversies over world politics described by this fascinating movie .,plot,4,S,None
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
","Filled with overrated performances , direction , cinematography & above them all screenplay of this movie will give you a closer look of controversy behind great politician till date "" John f. Kennedy "" .",screenplay,2,S,John f. Kennedy
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
","Filled with "" Kevin Costner "" one of the breath - taking performance as "" Jim garrison "" , breath taking screenplay , one of the "" Tommy Lee Jones "" finest performances , made "" JFK "" one of the most important movie to see before death .",cast,5,S,"Kevin Costner, Tommy Lee Jones"
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
",""" JFK "" will take you closer to the controversies & let you know what lies beneath .",plot,4,S,None
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
",The movie will give you the closer view of bigger lies that you have ever heard before .,plot,4,S,None
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
",The movie give you the closer look of some unseen controversies till date .,plot,4,S,None
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
",The movie also brings you the change after fall of an empire .,plot,3,S,None
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
",This movie present before you an overrated drama which will make you read those history pages back,drama,2,S,None
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
","and correct the mistake""s in there .",plot,3,O,None
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
","This movie will make you to bite your nails , crack the popcorn & let you know that are we safe , is our country on the good hands .",plot,4,S,None
JFK 1991,6,kooooolvikas,10,4,17,14 October 2007," one of the most original,controversial & overrated movie ever made !!
",This movie brings an originality amongst us & let us know what we are missing since we are republic .,originality,4,S,None
JFK 1991,5,Knowlege,9,2,13,12 August 1998," One of the most informative movies I've ever seen!
","Yes , all their information is based on theories but for someone who has never seen the footage they showed in that movie it made me believe their was a conspiracy ! Now I didn""t grow up in the 60""s so I never saw it on live TV .",plot,3,S,None
JFK 1991,5,Knowlege,9,2,13,12 August 1998," One of the most informative movies I've ever seen!
",That incident was 18 years before I took my first breaths,timeline,3,O,None
JFK 1991,5,Knowlege,9,2,13,12 August 1998," One of the most informative movies I've ever seen!
",but it made me truly believe their was someone on high pulling the strings .,plot,4,S,None
JFK 1991,5,Knowlege,9,2,13,12 August 1998," One of the most informative movies I've ever seen!
","Now that""s how I judge a movie .",opinion,3,S,None
JFK 1991,5,Knowlege,9,2,13,12 August 1998," One of the most informative movies I've ever seen!
","If it makes me feel real emotion , then in my book it""s a good movie , but JFK was great !",emotion,4,S,None
JFK 1991,5,brendyrafferty,8,0,0,16 November 2019," Long viewing but so much worth it
","I seen this movie when it first came out on "" da movies "" .",viewing,3,O,None
JFK 1991,5,brendyrafferty,8,0,0,16 November 2019," Long viewing but so much worth it
",Oliver Stone obviously wanted to put his best into this movie and he did .,direction,4,S,Oliver Stone
JFK 1991,5,brendyrafferty,8,0,0,16 November 2019," Long viewing but so much worth it
",But could have been edited a tad better .,editing,2,S,None
JFK 1991,5,brendyrafferty,8,0,0,16 November 2019," Long viewing but so much worth it
",Who am I to question his reasoning,opinion,3,S,None
JFK 1991,5,brendyrafferty,8,0,0,16 November 2019," Long viewing but so much worth it
",but this is a cracker of a movie and one you should watch .,movie,5,S,None
JFK 1991,5,brendyrafferty,8,0,0,16 November 2019," Long viewing but so much worth it
",Why did JFK die whereas so many corrupt and inept presidents did not ?,plot,3,S,None
JFK 1991,5,imdb2-11,Null,0,10,5 January 2004," Horrible Fake Eye Glasses
",My enjoyment of this otherwise fine film was ruined by the horrible fake eye glasses worn throughout by Costner / Garrison .,costume,2,S,"Costner, Garrison"
JFK 1991,5,imdb2-11,Null,0,10,5 January 2004," Horrible Fake Eye Glasses
","They contained flat plastic "" lenses "" that reflect the light in exactly the way real curved lenses don""t .",costume,3,O,None
