username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
penwah2,9,173,245,5 October 2012," Watch out - you're going to like it whether you want to or not!
","We were probably the oldest people in the audience which ranged down to younger teens but everyone , regardless of age , was laughing and having a grand time .",viewing_experience,4,S,None
penwah2,9,173,245,5 October 2012," Watch out - you're going to like it whether you want to or not!
","Much less schmaltzy and self - serious than Glee , but wonderful vocals",acting_performance,4,S,None
penwah2,9,173,245,5 October 2012," Watch out - you're going to like it whether you want to or not!
",and dancing and personality .,character_development,3,O,None
penwah2,9,173,245,5 October 2012," Watch out - you're going to like it whether you want to or not!
","You can""t help but fall in love with the hilariously quirky characters , especially Rebel Wilson as the irrepressible Fat Amy , Elizabeth Banks as Gail , the sexually frustrated female announcer , and Hanna Mae Lee as Lilly , the wackadoo who releases the most shocking comments in a voice that barely exceeds a murmur .",acting_performance,5,S,"Rebel Wilson, Elizabeth Banks, Hanna Mae Lee"
penwah2,9,173,245,5 October 2012," Watch out - you're going to like it whether you want to or not!
","Fun , feel - good and highly entertaining .",viewing_experience,4,S,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
",That I loved so much .,emotion,5,S,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
",I scored free tickets to a Denver Screening awhile back,commercial_context,3,O,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
","and was just going to have my wife and 13 year old daughter go ,",commercial_context,3,O,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
","but I watched the trailer and really thought Anna Kendrick was terrific in 50/50 and very good in Up in the Air so I thought , what the heck , I""m going too .",acting_performance,4,S,Anna Kendrick
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
",Was I glad that I did .,emotion,5,S,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
",I laughed like crazy and loved the a capella singing .,audio_music,5,S,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
","This film is really raunchy and just skirts around an R rating several times ,",genre_style,3,O,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
",but it is just so fun .,viewing_experience,4,S,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
",I am pretty confident that it is going to be the surprise box office hit of the fall,commercial_context,4,S,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
","and it is so much better than the films that it is bound to be compared to like Mean Girls , Bring it On , and even Bridesmaids .",comparative_analysis,4,S,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
","Speaking of Bridesmaids Rebel Wilson almost steals the show with every scene that she is involved with being hilarious ,",acting_performance,5,S,Rebel Wilson
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
","and in a lesser movie her scenes most certainly would be worth paying the price of admission alone ,",recommendation,4,S,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
",but there are so many other talents involved .,acting_performance,4,S,None
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
",Elizabeth Banks has never been funnier .,acting_performance,5,S,Elizabeth Banks
somf,8,133,198,15 September 2012," It has been years since I have seen a movie that I had such low expectations for...
","Skylar Astin as the love interest is also terrific though he needs to change his name , because for me the name Skylar brings only one thing to mind",acting_performance,4,S,Skylar Astin
