username,rating,helpful,total,date,title,review
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","But I loved the original , so what""s going on . No ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
",The problem is this movie is a bland attempt to express messages about gender roles and current society issues .
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","It lacks flow , it""s just a bunch of scenes one after the other , there""s no coherent thread or curious elements tying it together ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","Nice visuals goes without saying ,"
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","but the story is let down by a sense that it""s been engineered around a board room table by people referring to their social media feeds for inspiration , rather than dreamt up by talented writers ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","Sure , some scenes are fun ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","But we""re not watching a youtube playlist here , this is a movie and it""s supposed to work as a whole , not just momentarily ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","The script is uninteresting , the action is exciting sometimes ,"
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
",but other times you just want it to end or move on . Very disappointing .
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","Toy Story 2 was a great sequel ,"
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
",but this is a very poor sequel . Forgettable .
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","If you love the first , then hold onto that because it doesn""t get better . It gets worse ."
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",I can not believe it has been 14 years since The Incredibles came out .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","The gap between sequels seems to be getting longer ,"
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","but the director , Brad Bird , said he wanted to wait until he had the perfect story ."
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","There""s even a clip before the film starts where actors , Craig T. Nelson , Samuel L. Jackson , and Holly Hunter tell us it will be "" well worth the wait""--and they were right ! Though 14 years later , the film takes place minutes later ."
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","The first film ends with the Parr family having to fight the Miner who pops up out of the school parking lot , just after Violet gets a date with Tony ."
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",The sequel starts with that fight and we see how it backfires as the Parr family get arrested for destroying part of the city and because superheroes are still illegal .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","Enter our new characters , siblings Winston and Evelyn Deaver , who both want to help superheroes step back into the light ,"
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",but they believe the way to do that is with Elastigirl .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","Therefore , our sequel twist is that Mr. Incredible becomes a stay - at - home dad having to babysit Jack - Jack and learning of his dozens of powers , teaching Dash "" new math "" ,"
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",and inserting his foot into his mouth when he tries to help Violet with her crush -- all while Elastigirl is improving superhero relations .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","Personally , I thought the movie was predictable but perfect ."
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",I loved it for its simplistic plot that was not hard to figure out .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","I knew right away who the "" villain "" was"
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","and what their motivation was ; however , I did not know exactly how the climax would occur , so I was still very much engaged ."
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",Not to mention there was enough character development and funny scenes to space out the predictable plot arch .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","Often times animated films are more for the adults who are taking the kids , then for the kids themselves ."
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","Most kids will not understand half the references ,"
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",but will still enjoy the overall concept .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","At the same time , this film comes out when the kids who saw the first are now adults , possibly with kids of their own ."
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","Therefore , this film is a great blend of adult and child humor ."
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","I found it hilarious , and as a teacher , I particularly loved when Mr. Incredible stays up all night reading Dash""s "" new math "" textbook so he can teach him new math , which was what it was called in the 60s ( the time period this film alludes to )"
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",and is a shout out to our modern common core confusion .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","What I really love about this film is that there is even more Frozone and Jack - Jack , which brings me to my all - time favorite scenes -- learning of Jack - Jack""s powers , particularly when Violet and Dash call Uncle Frozone over because their dad is going insane from sleep - deprivation"
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",and trying to keep up with Jack - Jack .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",I lost track of how many powers he has
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",and all I will say on the matter is that the best scene in the whole film is when Jack - Jack fights the raccoon .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",If you want a light - hearted comedy with some fun action sequences then this film is for you .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
",If you loved the first one then you will love the second one .
sfgebel315,8,41,62,4 July 2018," Predictable, But Perfect
","If you have not seen the first one , what""s wrong with you ?"
ModishMovies,7,358,655,14 June 2018," Can't Escape the Incredible Legacy of the Original
","Since I already know you are going to rate this review as "" Not Helpful "" because I didn""t rate this 10/10 stars , I figured I might as well start off by telling you how much I love the original Incredibles ."
