movie_title,title,review,rating,helpful,total,date,topic,sentiment_score,subjectivity,person_name
The Blair Witch Project," Great horror.
",and the commentary and extras ) .,10,2,4,2 September 2005,viewing_experience,3,O,None
The Blair Witch Project," Great horror.
","Was it still a good movie , was it still scary ? Absolutely .",10,2,4,2 September 2005,viewing_experience,5,S,None
The Blair Witch Project," Great horror.
","The characters were strong and realistic and showed real emotions , the setting was perfect and fully used , and the use of sound was awesome .",10,2,4,2 September 2005,character_development,5,S,None
The Blair Witch Project," Great horror.
",All that made for an incredible atmosphere .,10,2,4,2 September 2005,viewing_experience,5,S,None
The Blair Witch Project," Great horror.
","At only 77 minutes , the movie moved along at a brisk pace .",10,2,4,2 September 2005,editing_pacing,4,S,None
The Blair Witch Project," Great horror.
","The shaky footage wasn""t that bad at all",10,2,4,2 September 2005,technical_visuals,3,S,None
The Blair Witch Project," Great horror.
",and some of the shots of the woods are just great .,10,2,4,2 September 2005,technical_visuals,5,S,None
The Blair Witch Project," Great horror.
",I will admit that some of the power of the film has somewhat diminished over the years (,10,2,4,2 September 2005,viewing_experience,3,S,None
The Blair Witch Project," Great horror.
",and from watching it at least four times ! ),10,2,4,2 September 2005,viewing_experience,3,O,None
The Blair Witch Project," Great horror.
",but the same can be said of most any scary horror flick .,10,2,4,2 September 2005,comparative_analysis,3,S,None
The Blair Witch Project," Great horror.
",The ending still gave me chills for a good fifteen seconds though .,10,2,4,2 September 2005,story_plot,4,S,None
The Blair Witch Project," Great horror.
",I even rewound it to check something,10,2,4,2 September 2005,viewing_experience,3,O,None
The Blair Witch Project," Great horror.
","and it creeped me out a second time ! BWP is not conventional horror and that""s one of the reasons it works so well ( but maybe that""s the problem for some people too?)it""s different , unique .",10,2,4,2 September 2005,genre_style,4,S,None
The Blair Witch Project," Great horror.
","The presentation , backed up with the mythos , is what really makes this movie something special .",10,2,4,2 September 2005,themes_messages,4,S,None
The Blair Witch Project," Great horror.
","I""ve never seen another quite like it .",10,2,4,2 September 2005,comparative_analysis,3,S,None
The Blair Witch Project," Great horror.
",The DVD commentary is decent and goes over the making of the film .,10,2,4,2 September 2005,commercial_context,3,O,None
The Blair Witch Project," Great horror.
",The makers discussed the great ideas and techniques used to make the film as realistic as possible .,10,2,4,2 September 2005,filmmaking_direction,4,S,None
The Blair Witch Project," Great horror.
",The three trailers were pretty cool toono wonder it was a box - office hit .,10,2,4,2 September 2005,commercial_context,4,S,None
The Blair Witch Project," Great horror.
",I also watched Curse of the Blair Witch and Stick and Stones .,10,2,4,2 September 2005,comparative_analysis,3,O,None
The Blair Witch Project," Great horror.
","Sticks and Stones is basically the same as CotBW , only it""s edited a bit quicker .",10,2,4,2 September 2005,editing_pacing,3,S,None
The Blair Witch Project," Great horror.
",These documentaries are informative and compelling and help set up the mood for BWP,10,2,4,2 September 2005,themes_messages,4,S,None
The Blair Witch Project," Great horror.
","but I didn""t find them particularly scary .",10,2,4,2 September 2005,emotion,2,S,None
The Blair Witch Project," Great horror.
","All in all , though , I really had a good time revisiting this whole cinematic experience .",10,2,4,2 September 2005,viewing_experience,4,S,None
Raiders of the Lost Ark," A definitive film of action and adventure.
","From the heavily booby - trapped South American temple to the violent gun fight in Marion""s bar , from the confusing chase through the streets of Cairo to the painful fist fight with the Nazi strongman , from the exciting horse / car / truck / motorcycle chase to get control of the Ark to the Mexican stand - off with a rocket launcher to the final confrontation between good and evil , Raiders seems to have it all .",10,2,4,5 January 2006,story_plot,5,S,None
Raiders of the Lost Ark," A definitive film of action and adventure.
","It blends action and adventure with comedy , drama , romance , and horror seamlessly .",10,2,4,5 January 2006,genre_style,4,S,None
Raiders of the Lost Ark," A definitive film of action and adventure.
","The hero , Indiana Jones , is a man""s man .",10,2,4,5 January 2006,character_development,4,S,None
Raiders of the Lost Ark," A definitive film of action and adventure.
","Tough and rugged , he keeps going no matter what the odds , be it countless opposition or catching a ride on a sub or even ( gasp ! ) facing hundreds of deadly snakes .",10,2,4,5 January 2006,character_development,4,S,None
Raiders of the Lost Ark," A definitive film of action and adventure.
","The directing , acting , script , and story are all right on target .",10,2,4,5 January 2006,filmmaking_direction,4,S,None
Raiders of the Lost Ark," A definitive film of action and adventure.
",The theme is one of the most memorable in film history .,10,2,4,5 January 2006,audio_music,5,S,None
Raiders of the Lost Ark," A definitive film of action and adventure.
",All this and more make Raiders a timeless classic !,10,2,4,5 January 2006,viewing_experience,5,S,None
Oldboy," One of the best films I watched in 2004.
","Oldboy , a Korean action thriller , is one of the best films I watched in 2004 ! Oh Daesu , on his way home to celebrate his daughter""s birthday , finds himself kidnapped",8,4,8,9 December 2008,genre_style,5,S,None
Oldboy," One of the best films I watched in 2004.
",and placed in a small apartment - like room .,8,4,8,9 December 2008,story_plot,3,O,None
Oldboy," One of the best films I watched in 2004.
","Despite his attempts to find out why , he is never told anything over the 15 years he remains prisoner there ! During the time in his cell , he stays busy by attempting suicide , watching TV , trying to escape , and preparing for when he does get out .",8,4,8,9 December 2008,story_plot,3,O,None
Oldboy," One of the best films I watched in 2004.
","It is at that time Oh Daesu will begin his violent , disturbing quest for answers .",8,4,8,9 December 2008,story_plot,3,O,None
Oldboy," One of the best films I watched in 2004.
","No more needs to be said , as this is a film best left revealed as you watch it for the first time .",8,4,8,9 December 2008,recommendation,3,S,None
Oldboy," One of the best films I watched in 2004.
",I will mention one scene for the action fans though .,8,4,8,9 December 2008,viewing_experience,3,S,None
Oldboy," One of the best films I watched in 2004.
","Oh Daesu , on his way out of a building , starts into a hall",8,4,8,9 December 2008,story_plot,3,O,None
Oldboy," One of the best films I watched in 2004.
",and encounters a whole gang of punks prepared to stop him .,8,4,8,9 December 2008,story_plot,3,O,None
Oldboy," One of the best films I watched in 2004.
","Armed with a mere claw hammer , our hero smashes his way to the other end , realistically dishing out pain (",8,4,8,9 December 2008,story_plot,4,S,None
Oldboy," One of the best films I watched in 2004.
",and taking his share of it back ! ) .,8,4,8,9 December 2008,story_plot,4,S,None
Oldboy," One of the best films I watched in 2004.
","We witness this awesome scene of action beauty unfold over the course of about three minutes , scrolling from the left to the right ,",8,4,8,9 December 2008,technical_visuals,4,S,None
Oldboy," One of the best films I watched in 2004.
","and with absolutely no cuts ! Anyway , with its unique and suspenseful plot , great characters and acting , and sharp sense of style and music , Oldboy was an impressive feature .",8,4,8,9 December 2008,viewing_experience,5,S,None
Oldboy," One of the best films I watched in 2004.
",The film was less than a year old,8,4,8,9 December 2008,commercial_context,3,O,None
Oldboy," One of the best films I watched in 2004.
","and a remake was already in the works ! If you get the chance , I definitely recommend watching it .",8,4,8,9 December 2008,recommendation,4,S,None
Oldboy," One of the best films I watched in 2004.
","I""m looking forward to now checking out director Chan - wook Park""s earlier film , Sympathy for Mr. Vengeance .",8,4,8,9 December 2008,filmmaking_direction,4,S,Chan-wook Park
Oldboy," One of the best films I watched in 2004.
","Comment originally submitted on September 5 , 2005 .",8,4,8,9 December 2008,commercial_context,3,O,None
Constantine," This one came across a little better with a second viewing.
","Keanu Reeves is back in action ! ( cricket , cricket ) He""s lost his soul ( anyone surprised ? ) for attempting suicide",5,0,3,2 September 2005,story_plot,3,O,Keanu Reeves
Constantine," This one came across a little better with a second viewing.
","and now seeks to regain God""s favor by banishing demons back to Hell and protecting earth .",5,0,3,2 September 2005,story_plot,3,O,None
Constantine," This one came across a little better with a second viewing.
","Satan has some plans of his own though , as does the angel Gabriel . Interesting material",5,0,3,2 September 2005,story_plot,3,O,None
Constantine," This one came across a little better with a second viewing.
",but I think the movie failed to really capitalize on it .,5,0,3,2 September 2005,story_plot,2,S,None
Constantine," This one came across a little better with a second viewing.
","The scenes of Hell didn""t impress me much , just a city in flames .",5,0,3,2 September 2005,artistic_design,2,S,None
Constantine," This one came across a little better with a second viewing.
","The movie didn""t really seem to have a climax either , unless you consider Satan in a white suit acting silly",5,0,3,2 September 2005,story_plot,2,S,None
Constantine," This one came across a little better with a second viewing.
",and making jokes one .,5,0,3,2 September 2005,acting_performance,2,S,None
Constantine," This one came across a little better with a second viewing.
","Still , the movie moved along nicely",5,0,3,2 September 2005,editing_pacing,4,S,None
Constantine," This one came across a little better with a second viewing.
",and gave my mind a rest .,5,0,3,2 September 2005,viewing_experience,4,S,None
Constantine," This one came across a little better with a second viewing.
","And yes , I know a cricket is an insect and not a sound .",5,0,3,2 September 2005,technical_visuals,3,O,None
Constantine," This one came across a little better with a second viewing.
",This one came across a little better with a second viewing .,5,0,3,2 September 2005,viewing_experience,4,S,None
Constantine," This one came across a little better with a second viewing.
","A little , mind you , which is to say it adequately passed the time .",5,0,3,2 September 2005,viewing_experience,3,S,None
Constantine," This one came across a little better with a second viewing.
","Constantine""s golden , cross gun is absurd though .",5,0,3,2 September 2005,artistic_design,2,S,None
Constantine," This one came across a little better with a second viewing.
","And I don""t know how he managed to trick Satan at the end .",5,0,3,2 September 2005,story_plot,3,S,None
Constantine," This one came across a little better with a second viewing.
","But , that""s what you get with this kind of flick .",5,0,3,2 September 2005,viewing_experience,3,S,None
The Passion of Joan of Arc," ...and hope and faith...
","This silent masterpiece , based off historical records , reveals the trial and execution of Joan of Arc .",10,2,4,7 February 2006,story_plot,3,O,None
The Passion of Joan of Arc," ...and hope and faith...
","It was wonderfully acted , with Maria Falconetti giving a particularly moving performance as the lead .",10,2,4,7 February 2006,acting_performance,5,S,Maria Falconetti
The Passion of Joan of Arc," ...and hope and faith...
","And director Carl Theodor Dreyer really captures the detailed expressions and emotions of all the actors through a constant use of close - ups , which also added to the sense of distress and torment , and hope and faith , this picture intended to convey .",10,2,4,7 February 2006,filmmaking_direction,5,S,Carl Theodor Dreyer
The Passion of Joan of Arc," ...and hope and faith...
","The film is also quite stylish , with sharp editing , reverse camera angles , quick montages , and multiple instances of symbolism .",10,2,4,7 February 2006,editing_pacing,4,S,None
The Passion of Joan of Arc," ...and hope and faith...
","Set design , or at least what was shown of it , was sparse but believably so ,",10,2,4,7 February 2006,artistic_design,3,O,None
The Passion of Joan of Arc," ...and hope and faith...
",and gave several nods to German expressionism .,10,2,4,7 February 2006,themes_messages,3,O,None
The Passion of Joan of Arc," ...and hope and faith...
","The Criterion DVD does justice to this once lost work of art , giving us the option to watch it completely silent or with the Voices of Light soundtrack , an operatic orchestration inspired by the film , which I found to be very fitting .",10,2,4,7 February 2006,audio_music,4,S,None
The Passion of Joan of Arc," ...and hope and faith...
","Also included on the disc is a comprehensive commentary track , a feature on the history and many versions of the film , and several other worthwhile extras .",10,2,4,7 February 2006,commercial_context,3,O,None
The Passion of Joan of Arc," ...and hope and faith...
","All in all , this is the best silent film I""ve seen and I""m glad I went ahead and purchased it .",10,2,4,7 February 2006,viewing_experience,5,S,None
The Aviator," I get mad when people touch my peas toodisturbingly mad.
","In my opinion , out of the nominated films for best picture , The Aviator is the movie that should have won , along with Scorsese as director .",9,1,2,2 September 2005,recommendation,4,S,Martin Scorsese
The Aviator," I get mad when people touch my peas toodisturbingly mad.
","The story of Howard Hughes is a fascinating one ; on one hand , a forward - thinker and genius of aviation ( among many , many other things ) and on the other , a man crippled by obsessive - compulsive disorder .",9,1,2,2 September 2005,story_plot,3,O,None
The Aviator," I get mad when people touch my peas toodisturbingly mad.
","Leonardo DiCaprio is excellent as the lead and the movie ( focusing more on Hughes "" younger years ) is an amazing , enjoyable watch from start to finish .",9,1,2,2 September 2005,acting_performance,5,S,Leonardo DiCaprio
The Aviator," I get mad when people touch my peas toodisturbingly mad.
",Nice work with the CGI too .,9,1,2,2 September 2005,technical_visuals,4,S,None
The Aviator," I get mad when people touch my peas toodisturbingly mad.
","The commentary is decent , as are the other DVD extras .",9,1,2,2 September 2005,technical_visuals,3,O,None
The Aviator," I get mad when people touch my peas toodisturbingly mad.
","If you want to learn more about Hughes , the History Channel documentary on disc two is the thing to watch .",9,1,2,2 September 2005,recommendation,3,S,None
American Psycho," American Nightmare?
","I""m not sure I fully go for the whole "" yuppie - to - psycho "" theme ( maybe as a stretched - out satire , which was probably the intent )",7,0,2,2 September 2005,themes_messages,2,S,None
American Psycho," American Nightmare?
",but I definitely find the movie pretty entertaining .,7,0,2,2 September 2005,viewing_experience,4,S,None
American Psycho," American Nightmare?
","Christian Bale is perfect as the psychotic Patrick Bateman and the film is filled to the brim with black humor , especially with some of the Patrick""s inner monologues .",7,0,2,2 September 2005,casting_choices,5,S,Christian Bale
American Psycho," American Nightmare?
",The business card scene was just great ! I skipped through the two commentaries,7,0,2,2 September 2005,story_plot,4,S,None
American Psycho," American Nightmare?
",and both seemed to be decent,7,0,2,2 September 2005,acting_performance,3,S,None
American Psycho," American Nightmare?
","but I didn""t really care for the featurettes much .",7,0,2,2 September 2005,viewing_experience,2,S,None
American Psycho," American Nightmare?
","They supplied some good information but something , maybe the presentation , maybe the people , just didn""t work for me .",7,0,2,2 September 2005,viewing_experience,2,S,None
American Psycho," American Nightmare?
","Oh well , it was still a cool horror flick .",7,0,2,2 September 2005,genre_style,4,S,None
Legends of the Fall," Zwick's style of sap.
","Edward Zwick""s epic tale of frontier life is not a bad movie .",7,1,3,22 April 2006,filmmaking_direction,3,S,Edward Zwick
Legends of the Fall," Zwick's style of sap.
","Sappy , yes , at times but bad ? Nope .",7,1,3,22 April 2006,viewing_experience,4,S,None
Legends of the Fall," Zwick's style of sap.
","In fact , I can actually enjoy",7,1,3,22 April 2006,viewing_experience,4,S,None
Legends of the Fall," Zwick's style of sap.
","and appreciate Zwick""s style of sapit has sort of a nostalgic feel to it .",7,1,3,22 April 2006,filmmaking_direction,4,S,Zwick
Legends of the Fall," Zwick's style of sap.
","The story spans many years and seems to hone in on Brad Pitt""s character ; I guess because he was the most "" true "" human of them all .",7,1,3,22 April 2006,story_plot,3,S,Brad Pitt
Legends of the Fall," Zwick's style of sap.
","The action , consisting of some battle scenes , knife and gun fights , and bear attacks , is fairly good",7,1,3,22 April 2006,story_plot,4,S,None
Legends of the Fall," Zwick's style of sap.
",and the acting is more than adequate all around .,7,1,3,22 April 2006,acting_performance,4,S,None
Legends of the Fall," Zwick's style of sap.
","On the Special Edition DVD there are three deleted scenes , one of which is very similar to a scene in Zwick""s The Last Samurai .",7,1,3,22 April 2006,commercial_context,3,O,Edward Zwick
Legends of the Fall," Zwick's style of sap.
","It""s the scene involving a person who is a bit too curious about the details of scalping .",7,1,3,22 April 2006,story_plot,3,O,None
Batman Begins," Not as cool as Burton's Batman.
",Bam ! Pow ! Kazam ! Batman Begins ( currently at 117 on the IMDb 250 ! ? ) .,6,0,1,2 September 2005,commercial_context,3,O,None
Batman Begins," Not as cool as Burton's Batman.
","OK , there were several elements I really liked .",6,0,1,2 September 2005,viewing_experience,4,S,None
Batman Begins," Not as cool as Burton's Batman.
","Bruce Wayne""s training in the first 45 minutes was pretty cool , as were the deeper than usual themes of justice and revenge .",6,0,1,2 September 2005,story_plot,4,S,None
Batman Begins," Not as cool as Burton's Batman.
","The way Wayne acquired Batman""s wonderful toys was explained nicely too , such as having the two ears manufactured at a different place than the actual mask to avoid suspicion .",6,0,1,2 September 2005,story_plot,4,S,None
Batman Begins," Not as cool as Burton's Batman.
",The movie was suitably dark and Christian Bale was more than acceptable as the lead .,6,0,1,2 September 2005,casting_choices,4,S,Christian Bale
Batman Begins," Not as cool as Burton's Batman.
","That all said , the movie seemed overlong at two plus hours , perhaps being the cause of the frenzied - to - a - fault climax .",6,0,1,2 September 2005,editing_pacing,2,S,None
Batman Begins," Not as cool as Burton's Batman.
","The last half hour was a mix of rushed details and plot points , resulting in a nearly awful watch .",6,0,1,2 September 2005,editing_pacing,2,S,None
Batman Begins," Not as cool as Burton's Batman.
","The fighting and action itself was nothing great either , often consisting of quick edits and the camera being so close as to lose focus of what is actually going on .",6,0,1,2 September 2005,editing_pacing,2,S,None
Batman Begins," Not as cool as Burton's Batman.
","All in all , a decent movie but Burton""s version still reigns supreme in my book .",6,0,1,2 September 2005,comparative_analysis,3,S,None
Batman Begins," Not as cool as Burton's Batman.
","Oh yeah , the suped - up , armored dune buggy didn""t really work for me as a Batmobile either , nor did the "" look "" of Gotham .",6,0,1,2 September 2005,artistic_design,2,S,None
City of God," THAT great?
","Over the course of 25 years or so , we are told the ( true ? ) story of several poor youths who grow up in the slums of Brazil , leading to a life of violence , drugs , and organized crime .",6,6,15,22 April 2006,story_plot,3,O,None
City of God," THAT great?
","The focus , though , is usually on Buscapé , a young man who chooses not to dive head first into the grime",6,6,15,22 April 2006,character_development,3,O,None
City of God," THAT great?
",but to simply try and work his way through it .,6,6,15,22 April 2006,character_development,3,O,None
City of God," THAT great?
","He also has a penchant for photography , which is just the ticket he needs .",6,6,15,22 April 2006,character_development,3,O,None
City of God," THAT great?
","City of God is similar , both in style and content , to the likes of Pulp Fiction and Goodfellas .",6,6,15,22 April 2006,comparative_analysis,3,S,None
City of God," THAT great?
","Trendy camera - work , ( semi-)hip dialogue and humor , shocking , brutal violence , and a mob - like plot line are all aspects of it",6,6,15,22 April 2006,filmmaking_direction,3,S,None
City of God," THAT great?
",and actually done decently .,6,6,15,22 April 2006,acting_performance,4,S,None
City of God," THAT great?
","The scene in which a boy must choose to be shot either in his hand or foot is a favorite ! That all said , there was something about this movie that I did not like",6,6,15,22 April 2006,story_plot,4,S,None
City of God," THAT great?
","and I can""t put my finger on itI just didn""t leave the theater thinking it was THAT great .",6,6,15,22 April 2006,viewing_experience,2,S,None
City of God," THAT great?
","And a ranking of 16 ( 48 when I wrote this review back in February of 2004 ) on IMDb ? I just don""t see that .",6,6,15,22 April 2006,comparative_analysis,2,S,None
City of God," THAT great?
","It wasn""t a bad movie though .",6,6,15,22 April 2006,viewing_experience,3,S,None
School of Rock," Jack Black and his brand of humor.
","Over the past few years , I""ve come to enjoy Jack Black and his brand of humor .",7,0,0,22 April 2006,acting_performance,4,S,Jack Black
School of Rock," Jack Black and his brand of humor.
","In School of Rock , he plays a rock""n""roll - obsessed guitarist in an amateur band that is about to compete in a "" Battle of the Bands "" contest .",7,0,0,22 April 2006,character_development,3,O,None
School of Rock," Jack Black and his brand of humor.
","When the other members kick him out because of his antics , he takes his friend""s job ( behind his back ) as substitute teacher of a grade school class for some easy cash .",7,0,0,22 April 2006,story_plot,3,O,None
School of Rock," Jack Black and his brand of humor.
","As he soon finds out , these kids have musical talent",7,0,0,22 April 2006,story_plot,3,O,None
School of Rock," Jack Black and his brand of humor.
","and a plan formshe has a band again ! This fun , light - hearted flick was pretty enjoyable",7,0,0,22 April 2006,viewing_experience,4,S,None
School of Rock," Jack Black and his brand of humor.
","and had plenty of references to classic rock , which rocks .",7,0,0,22 April 2006,themes_messages,4,S,None
School of Rock," Jack Black and his brand of humor.
","While Black stole the show , the kids were actually playing the instruments and they""re pretty good .",7,0,0,22 April 2006,acting_performance,4,S,Black
School of Rock," Jack Black and his brand of humor.
","The DVD has commentary from the kids , which was just OK , and from Black and director Linklater , which was funny at times .",7,0,0,22 April 2006,audio_music,3,O,"Black, Linklater"
