統計項目,値
総映画数,1150
レビュー総数,932464
最小レビュー数,101
最大レビュー数,10046
平均レビュー数,810.8382608695653
中央値レビュー数,567
,
レビュー数範囲,映画数,割合(%)
1000+,273,23.7
101-200,147,12.8
201-500,363,31.6
501-1000,367,31.9
