センテンス数統計,値
最小,1.0
最大,706.0
平均,12.7
中央値,10.0
標準偏差,10.6
,
単語数統計,値
最小,0.0
最大,3194.0
平均,242.1
中央値,174.0
標準偏差,212.3
,
パーセンタイル,センテンス数,単語数
10%,3.0,48.0
25%,6.0,112.0
33%,7.0,131.0
50%,10.0,174.0
67%,13.0,250.0
75%,16.0,308.0
90%,26.0,526.0
95%,34.0,701.0
99%,52.0,1009.0
,,
カテゴリ,レビュー数,割合(%)
短いレビュー,332774,35.7
中程度のレビュー,292203,31.3
長いレビュー,307487,33.0
