映画名,レビュー数
Jaws 1975,1194
The Cabin in the Woods 2011,1190
Harry Potter and the Order of the Phoenix 2007,1188
The Mist 2007,1184
Star Wars: Episode V - The Empire Strikes Back 1980,1184
The Amazing Spider-Man 2 2014,1181
The Butterfly Effect 2004,1180
Marriage Story 2019,1178
2012 2009,1174
Passengers 2016,1170
The Patriot 2000,1169
Resident Evil 2002,1168
Whiplash 2014,1166
Cast Away 2000,1163
Pride & Prejudice 2005,1158
John Wick 2014,1157
Léon: The Professional 1994,1156
Apocalypse Now 1979,1155
"Three Billboards Outside Ebbing, Missouri 2017",1152
Spectre 2015,1152
Black Hawk Down 2001,1151
Lucy 2014,1137
Love Actually 2003,1135
The Others 2001,1134
World War Z 2013,1125
Taxi Driver 1976,1122
Beauty and the Beast 2017,1121
Back to the Future 1985,1121
The Deer Hunter 1978,1119
Slumdog Millionaire 2008,1119
Reservoir Dogs 1992,1113
The Truman Show 1998,1110
Frozen 2013,1109
X2: X-Men United 2003,1104
Dawn of the Dead 2004,1100
Baby Driver 2017,1096
Jurassic Park 1993,1087
Terminator Salvation 2009,1083
Constantine 2005,1074
Incredibles 2 2018,1067
The Thing 1982,1066
Coco 2017,1063
Taken 2008,1056
Shrek 2001,1054
The Fast and the Furious 2001,1052
Heat 1995,1046
Guardians of the Galaxy Vol. 2 2017,1044
The Mummy 1999,1043
Life 2017,1042
The Conjuring 2013,1041
Her 2013,1041
American Sniper 2014,1036
Mystic River 2003,1035
The Last Samurai 2003,1025
Fantastic Four 2005,1024
Kill Bill: Vol. 2 2004,1022
Sucker Punch 2011,1021
Inside Out 2015,1012
Sleepy Hollow 1999,1008
A Walk to Remember 2002,1007
Oblivion 2013,1006
Scarface 1983,1005
It Follows 2014,997
Gran Torino 2008,990
City of God 2002,989
Split 2016,986
The Hobbit: The Desolation of Smaug 2013,985
The Fountain 2006,985
Cloud Atlas 2012,984
The Witch 2015,983
Warcraft 2016,983
Oldboy 2003,977
The Lion King 1994,977
Garden State 2004,973
The Godfather: Part II 1974,969
Les Misérables 2012,968
Shaun of the Dead 2004,964
The Hurt Locker 2008,961
Scream 1996,956
The Twilight Saga: New Moon 2009,955
Closer 2004,952
Finding Nemo 2003,951
Call Me by Your Name 2017,951
Edge of Tomorrow 2014,948
Little Miss Sunshine 2006,947
The Island 2005,947
Kong: Skull Island 2017,945
Doctor Strange 2016,944
Event Horizon 1997,943
One Flew Over the Cuckoo's Nest 1975,943
Harry Potter and the Deathly Hallows: Part 2 2011,940
"South Park: Bigger, Longer & Uncut 1999",939
Transformers: Dark of the Moon 2011,939
Captain America: The Winter Soldier 2014,937
The Incredibles 2004,936
Uri: The Surgical Strike 2019,936
Kingsman: The Secret Service 2014,935
Yesterday 2019,934
The Curious Case of Benjamin Button 2008,932
Fargo 1996,931
Harry Potter and the Chamber of Secrets 2002,930
Independence Day 1996,929
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 1964,928
Ocean's Eleven 2001,926
Juno 2007,924
Into the Wild 2007,924
Super 8 2011,924
It's a Wonderful Life 1946,924
The Mummy Returns 2001,920
Elysium 2013,915
Thor 2011,915
The Bourne Identity 2002,910
Mission: Impossible III 2006,909
Fury 2014,905
Rocketman 2019,904
The Great Gatsby 2013,901
Life of Pi 2012,899
Evil Dead 2013,899
"O Brother, Where Art Thou? 2000",899
Raiders of the Lost Ark 1981,897
Walk the Line 2005,896
Alien 3 1992,895
The Pianist 2002,893
The Hills Have Eyes 2006,889
Collateral 2004,889
Die Hard 1988,889
Knowing 2009,885
Insidious 2010,885
Ex Machina 2014,884
Saw II 2005,884
The Hobbit: The Battle of the Five Armies 2014,883
Captain America: The First Avenger 2011,882
Iron Man 2 2010,881
Prisoners 2013,880
Murder on the Orient Express 2017,877
The Bourne Ultimatum 2007,871
Hacksaw Ridge 2016,871
Up 2009,870
The Social Network 2010,869
Big Fish 2003,867
Being John Malkovich 1999,864
Toy Story 3 2010,864
Eurovision Song Contest: The Story of Fire Saga 2020,863
The Breakfast Club 1985,863
United 93 2006,862
Good Will Hunting 1997,862
Hero 2002,861
John Wick: Chapter 2 2017,859
The Terminator 1984,856
Munich 2005,856
Midway 2019,854
12 Years a Slave 2013,849
The Simpsons Movie 2007,849
The Fifth Element 1997,848
The Grand Budapest Hotel 2014,847
The Bourne Supremacy 2004,847
The Babadook 2014,846
Kick-Ass 2010,843
Gone with the Wind 1939,842
BlacKkKlansman 2018,841
The Aviator 2004,837
"I, Robot 2004",837
Silver Linings Playbook 2012,835
Sweeney Todd: The Demon Barber of Fleet Street 2007,832
The Princess Bride 1987,832
Underworld 2003,831
Full Metal Jacket 1987,831
Vertigo 1958,830
X-Men: Apocalypse 2016,830
Mr. & Mrs. Smith 2005,829
Snatch 2000,825
The Evil Dead 1981,825
Live Free or Die Hard 2007,824
Fantastic Beasts and Where to Find Them 2016,819
X-Men: Days of Future Past 2014,818
Rear Window 1954,818
American Hustle 2013,817
Pitch Black 2000,816
Cube 1997,813
Hot Fuzz 2007,810
The Imitation Game 2014,809
Catch Me If You Can 2002,802
Star Wars: Episode VI - Return of the Jedi 1983,802
Meet Joe Black 1998,798
American Pie 1999,797
Divergent 2014,797
The Incredible Hulk 2008,796
Lincoln 2012,794
Alice in Wonderland 2010,790
Argo 2012,789
28 Weeks Later 2007,789
Match Point 2005,784
Drag Me to Hell 2009,782
Wanted 2008,779
Shakespeare in Love 1998,774
A Nightmare on Elm Street 1984,774
Click 2006,773
Identity 2003,771
We Were Soldiers 2002,768
The Expendables 2010,768
Zodiac 2007,767
X-Men: First Class 2011,766
Predator 1987,764
Man on Fire 2004,762
Looper 2012,761
This Is the End 2013,760
Now You See Me 2013,760
Groundhog Day 1993,758
Nightcrawler 2014,757
Creed II 2018,754
Monty Python and the Holy Grail 1975,754
10 Cloverfield Lane 2016,752
Mamma Mia! 2008,752
Hugo 2011,749
The Pursuit of Happyness 2006,749
The King's Speech 2010,745
The Graduate 1967,742
National Treasure 2004,741
Bram Stoker's Dracula 1992,739
Furious 7 2015,739
The Purge 2013,736
Ratatouille 2007,731
Blood Diamond 2006,725
Ghost Rider 2007,724
The Girl with the Dragon Tattoo 2011,723
The New World 2005,721
The Hunger Games: Catching Fire 2013,720
Sicario 2015,719
Ant-Man 2015,718
Inside Man 2006,718
The Hangover 2009,717
Alien: Resurrection 1997,714
Zombieland 2009,713
X-Men Origins: Wolverine 2009,712
Final Destination 2000,712
Training Day 2001,710
Zero Dark Thirty 2012,709
Rise of the Planet of the Apes 2011,706
The Devil Wears Prada 2006,705
Zootopia 2016,701
The Terminal 2004,701
Enemy at the Gates 2001,700
Cold Mountain 2003,695
Jarhead 2005,695
Resident Evil: Apocalypse 2004,695
Thor: The Dark World 2013,695
Contact 1997,695
L.A. Confidential 1997,693
Sherlock Holmes 2009,693
The Illusionist 2006,687
Grave of the Fireflies 1988,686
The King 2019,684
Princess Mononoke 1997,683
Insomnia 2002,682
The Fault in Our Stars 2014,679
Clash of the Titans 2010,679
Harry Potter and the Deathly Hallows: Part 1 2010,678
Rocky 1976,678
Dark City 1998,674
Notting Hill 1999,670
Batman Returns 1992,669
The Wizard of Oz 1939,669
Ocean's Twelve 2004,668
Warrior 2011,668
Sinister 2012,667
Marie Antoinette 2006,666
Wedding Crashers 2005,666
Hotel Rwanda 2004,664
Lawrence of Arabia 1962,664
Scott Pilgrim vs. the World 2010,663
Cars 2006,663
The Artist 2011,661
"Monsters, Inc. 2001",660
Singin' in the Rain 1952,660
