映画名,レビュー数
The Great Raid 2005,194
Concussion 2015,193
54 1998,193
Peaceful Warrior 2006,192
Bhaag Milkha Bhaag 2013,191
Trouble with the Curve 2012,191
War Machine 2017,191
Woman in Gold 2015,191
The Dirty Dozen 1967,190
Three Colors: Blue 1993,190
Never Back Down 2008,190
Madagascar 3: Europe's Most Wanted 2012,187
The Passion of Joan of Arc 1928,186
The Man Who Would Be King 1975,186
We Are Marshall 2006,185
Cloudy with a Chance of Meatballs 2009,183
Space Jam 1996,182
Wimbledon 2004,181
Rudy 1993,181
Malcolm X 1992,180
The Last Legion 2007,180
To Rome With Love 2012,180
From Here to Eternity 1953,180
The Caine Mutiny 1954,179
No Man's Land 2001,179
Coffee and Cigarettes 2003,178
Children of Heaven 1997,178
Top Secret! 1984,177
In the Name of the Father 1993,177
The Rookie 2002,176
Quiz Show 1994,176
Pitch Perfect 3 2017,174
Cross of Iron 1977,173
Mr. Holland's Opus 1995,173
Behind The Candelabra 2013,171
Beasts of No Nation 2015,169
The Last Emperor 1987,169
If I Stay 2014,168
The Jungle Book 1967,168
Goon 2011,165
Rockstar 2011,165
Slap Shot 1977,164
Stripes 1981,163
Saints and Soldiers 2003,163
The Ringer 2005,163
The Flowers of War 2011,162
Stalingrad 1993,162
Youth 2015,161
The Big Blue 1988,161
Stalag 17 1953,159
The Bodyguard 1992,158
The Duchess 2008,157
Invincible 2006,157
Love & Mercy 2014,157
Nick and Norah's Infinite Playlist 2008,157
Saboteur 1942,157
Draft Day 2014,157
Sultan 2016,156
The Soloist 2009,156
Over the Top 1987,155
Control 2007,155
Tigerland 2000,155
Conquest 1453 2012,154
Balls of Fury 2007,154
Puss in Boots 2011,154
"Good Morning, Vietnam 1987",153
Glory Road 2006,153
In the Land of Blood and Honey 2011,153
Flashdance 1983,152
Ice Age: Continental Drift 2012,152
Cinderella 1950,152
"Run, Fat Boy, Run 2007",151
Lifeboat 1944,151
M.S. Dhoni: The Untold Story 2016,151
G.I. Jane 1997,150
"The Adventures of Priscilla, Queen of the Desert 1994",149
Departures 2008,149
Two for the Money 2005,148
Ice Age: Dawn of the Dinosaurs 2009,148
Duck You Sucker 1971,147
Rab Ne Bana Di Jodi 2008,147
Hoosiers 1986,147
Son of Saul 2015,147
Seven Years in Tibet 1997,146
Frank 2014,146
Footloose 2011,146
Catch-22 1970,144
Madagascar: Escape 2 Africa 2008,144
Underground 1995,144
Honey 2003,144
Magic Mike XXL 2015,143
Sweet and Lowdown 1999,143
The Mountain II 2016,142
Footloose 1984,141
Popstar: Never Stop Never Stopping 2016,140
The Color of Money 1986,140
Little Boy 2015,139
Mudbound 2017,139
The Runaways 2010,138
One Hundred and One Dalmatians 1961,136
Heartbreak Ridge 1986,136
La Grande Illusion 1937,135
Casualties of War 1989,135
Hardball 2001,134
Here Comes the Boom 2012,134
Bull Durham 1988,134
Kickboxer 1989,132
Grudge Match 2013,132
To Be or Not to Be 1942,131
Bloody Sunday 2002,131
Coriolanus 2011,131
The Cannonball Run 1981,130
Whip It 2009,129
Semi-Pro 2008,129
Last Flag Flying 2017,128
Days of Thunder 1990,127
The Chorus 2004,123
The Double Life of Véronique 1991,122
He Got Game 1998,122
The Ottoman Lieutenant 2017,121
Pawn Sacrifice 2014,121
Win Win 2011,120
The Greatest Game Ever Played 2005,119
Love and Death 1975,118
The Commitments 1991,117
The Football Factory 2004,117
Major League 1989,116
Shine 1996,116
Step Up 2: The Streets 2008,114
The Rocker 2008,112
Chak de! India 2007,111
Million Dollar Arm 2014,109
The Young Victoria 2009,108
Victory 1981,108
Au Revoir les Enfants 1987,104
"McFarland, USA 2015",104
The Fan 1996,103
Stop-Loss 2008,102
Kagemusha 1980,101
