movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Brilliant - Absolutely Brilliant
","Besides seeing this masterpiece in a theater filled with disrespectful gangster wanna-be's on a Monday night at 11:15 pm and having a child cry during one of the most intense scenes, I'd have to say that this was, is and will always be the scariest movie I've ever seen.  Period.  The acting is brilliant.  I never got the sense the 3 were actors speaking lines - I felt they were three armature film students lost in the woods being hunted.  The fear in this film isn't from Â‘special' effects but from my imagination. Mostly sound and fury signifying everything.",10,1,2,3 August 1999
Star Wars: Episode II - Attack of the Clones," Seeing it at midnight with die-hard fans is the only way to go
","While it is a bit slow in the first 1/3, and the acting is (like all of them) pretty much terrible across the board, the last 2/3 of the movie do split into 2 separate story lines that are interesting and do hold your attention...That is when Star Wars is the most fun, when it follows, and bounces, between several different plots...",8,0,0,16 May 2002
