movie_title,title,review,rating,helpful,total,date
The Finest Hours," Heartwarming story based on truth, turns out to be a tear-jerker
","Great for a Sunday afternoon matinee, which I saw on New Years Day, involving the expectations of a small community in the States, where a crew are saved from a stricken ship. Worth watching especially if you need encouragement.",Null,0,0,1 January 2019
The Impossible," Larger than life - caught in a Tsunami and survived
","A true story, and I liked the fact that the holiday appeared perfectly normal and calm, that is until the wave hit.... then disaster as the family are split up under the water. At least one of the children greatly disturbed and finding himself lost. Worth watching and a tear jerker as the audience become sucked into the film.",10,1,2,25 April 2019
The Lost City of Z," Factual movie based on true story
","This film related to the 1900 / 1920s and held the audience in their seats at a very interesting time in the history of the Royal Georaphical Society, and the explorations in Amazonia / Brazil of this apparent lost city.",8,1,2,10 November 2018
The Revenant," A tale of Endurance through the toughest time
","Do not give up - though the world is against you, you can make it through the toughest times.Great movie for all ages.",10,1,1,25 December 2018
Love Actually," Will makes you laugh and smile and cry sentimentally at the end
","A film where the spark of loves, embraces many, and where you be fully absorbed unto the end.......",10,1,2,26 December 2019
12 Strong," Great action war film based on a true story
","Very good, photography and CGI excellent. Good screenplay, plenty of blood showing killing in war. Bravery, strength and exciting. Worth watching!",10,3,5,30 September 2018
