movie_title,title,review,rating,helpful,total,date
First Man," Bored stupid
",Could have been condensed into an hour. The film is so slow and drawn out I found myself drifting off. Wouldn't watch again or recommend,1,6,12,20 October 2018
Bohemian Rhapsody," Truly magnificent
","Absolutely brilliant portrayal of Freddie and Queen. Inspiring, moving and emotional loved every second of it. The best there was, is and ever will be band of all time.",10,39,67,24 October 2018
