movie_title,title,review,rating,helpful,total,date
Raiders of the Lost Ark," Better with Selleck
","Ford's okay, but Selleck would have made a better Indie.",9,0,0,4 May 2020
North by Northwest," Loved it.
","None of it makes any sense, but it was fun to watch, nonetheless. 10 stars for entertainment and 10 stars for pure absurdity.",10,0,0,17 April 2020
Tucker and Dale vs Evil," Stupid. Silly. Sick
","If you're lookin' for something stupid, silly, and sick look no further cuz this little jewel has all three.",10,1,1,5 October 2019
