movie_title,title,review,rating,helpful,total,date
Logan," Absolutely incredible
",That was amazing I can't understand how you could rate this under an 8. You don't really need to have watched x men to follow this. The fights scenes were incredible to watch. I clocked towards the end he was definitely going to die there was no way he was going to survive the film but it still crushed me when he died.,9,0,0,22 April 2020
Everest," Just couldn't get into it at all
","The film just never hooked me. It was sad see all them people die knowing that actually happened. There was too many characters to know what was going on I never had any idea who was who. It never really focused on anyone so I couldn't connect with any of the characters. Also how cool was jake gyllenhaal's character, was very gutted he died.",5,0,0,20 March 2020
Limitless," Well that was a whole lot of nothing
","The film was just building up and up and up for what I thought was going to an incredible ending that would make the film and I couldn't have been more wrong. The film itself was actually decent, kept me thinking but the ending was horrendous.",5,1,3,12 April 2020
12 Years a Slave," Simply Brilliant
",It was an incredible watch and It showed what life was like as a slave and it showed all the cruel punishments in detail. At times it was hard to watch when people were getting whipped. Towards the end when Patsey was getting whipped I genuinely couldn't watch it looked massively painful. The ending was also incredibly heart warming. It's absolutely crazy to me that this is a true story.,8,0,0,24 October 2019
It Chapter Two," Very good and scary
","I really enjoyed it and it scared the life out of me a lot of times. There's not really much more you can ask for in a horror. You go to get scared and I got scared.
The only thing that annoys me about the film is the way they killed the clown. They literally killed him by insulting him, surely they could've thought of a better way. And please tell me I wasn't the only one who shed a tear when Eddie died that proper hit me hard.",7,0,0,11 September 2019
Kong: Skull Island," I thought that was class
",I don't understand the rating of 6.6 because I thought it was amazing. The graphics and special effects were incredible. The Acting was really good definitely nothing to complain about. I'd fully recommend anyone to watch this and you won't be disappointed,8,4,5,23 October 2019
Defiance," Slowwwwwwww
","I'm going to keep this short, it was way to slow. It was unnecessarily long and I couldn't stand Daniel Craig's accent, as soon as I heard it I couldn't get passed it. It was a good storey to do a film on but I think it could've been done a whole lot better.",4,0,1,19 March 2020
Mother!," I hated it
","I can't lie to you it's horrendous, it's incredibly hard to follow, it's weird and confusing and there's no way it could be under the title horror. If you wanna watch a horror then I strongly recommend you don't watch this.",2,7,10,9 September 2019
Lucy," Absolutely shocking, complete Waste of time
",That's 100% of the worst films I've ever seen. Made absolutely no sense. There's literally nothing else I can say other then it was horrendous please don't watch it. People who saying they understand it are clearly lying to look smart.,1,2,6,17 May 2020
Unbroken," What's with all that negative reviews
","I enjoyed that massively. It did go on a tad longer then it should have but I didn't mind that at all. Jack O'Connell can act, he was absolutely superb and a joy to watch. I'm actually not family with the true story so I don't know if it's right or wrong but I enjoyed it that's the whole reason I watch films and it's for the enjoyment. I also think Angelina Jolie did a fantastic job as director and I don't get the criticism, I think people are just being picky.",7,0,0,12 March 2020
Looper," Please thumbs me down, I don't see the hype
","That was terrible, I've never watched something harder to follow in my life. It literally made no sense, I'm convinced people just say they know what's going on just act smart. This has definitely certified that sci-fi films just aren't it.",2,3,7,5 April 2020
Hacksaw Ridge," Phenomenal
",It was an amazing film and an absolute joy to watch literally only have one bad thing to say about it. The second of the film was a 10 out of 10 but the first part dragged a little bit more then it should of thats my only negative thing to say. I thought vince Vaughn was played his role incredibly. I also thought it was a nice touch to add the actual heroes at the end of the film.,8,2,2,8 March 2020
13 Hours," Absolutely incredible
",I absolutely love war films and I loved this i was absolutely locked in for the entire film. I've been flickering with 9 and 10 for ages a 9.5 would be spot on. Every about the film was brilliant I have no cons about the film only pros. The fight scenes were riveting and exciting. The acting from everyone was perfect. John krasinski showing once again he can act.,9,0,0,7 March 2020
Warm Bodies," Got better as the film went on
",After the first 30 minutes I was really regretting my choice of film but it get way better as the film went on. I don't normally like romantic films but I actually fair enjoyed this. Would recommend,7,0,0,5 May 2020
The Martian," Wow just wow
","Was absolutely amazed by this definitely didn't feel as long as it was which was perfect. Matt Damon was brilliant absolute joy to watch. I'm annoyed it took me this long to watch this, disappointed in my self. I fully recommend this to anyone and everyone.",9,0,0,1 May 2020
The Fighter," Masterpiece
","Was an absolute joy to watch and I'm annoyed it took me this long to watch it. I'm not familiar with the original story because I'm too young but I did some research and they portrayed brilliantly. Mark and Christian played they're rolls perfectly. However Christian bale stood out massively he is an incredible actor, one of the best of our generation. I'm extremely glad he won an Oscar for his performance. It's a great story to do a film on.",9,0,0,10 March 2020
